Code,Num,Currency in English,Countries in English,Currency in Arabic,Country in Arabic
AED,784,United Arab Emirates dirham,United Arab Emirates,درهم إماراتي,الإمارات العربية المتحدة
AFN,971,Afghan afghani,Afghanistan,أفغاني,أفغانستان
ALL,8,Albanian lek,Albania,ليك ألباني,ألبانيا
AMD,51,Armenian dram,Armenia,درام,أرمينيا
ANG,532,Netherlands Antillean guilder,"Curaçao (CW),  Sint Maarten (SX)",غويلدر الأنتيل الهولندية,جزر الأنتيل الهولندية
AOA,973,Angolan kwanza,Angola,كوانزا أنغولي,أنغولا
ARS,32,Argentine peso,Argentina,بيزو أرجنتيني,الأرجنتين
AUD,36,Australian dollar,Australia,دولار أسترالي,أستراليا
AWG,533,Aruban florin,Aruba,فلورن أروبي,أروبا
AZN,944,Azerbaijani manat,Azerbaijan,مانات,أذربيجان
BAM,977,Bosnia and Herzegovina convertible mark,Bosnia and Herzegovina,مارك بوسني,البوسنة والهرسك
BBD,52,Barbados dollar,Barbados,دولار بربادوسي,بربادوس
BDT,50,Bangladeshi taka,Bangladesh,تاكا بنغلاديشي,بنغلادش
BGN,975,Bulgarian lev,Bulgaria,ليف,بلغاريا
BHD,48,Bahraini dinar,Bahrain,دينار بحريني,البحرين
BIF,108,Burundian franc,Burundi,فرنك بروندي,بوروندي
BMD,60,Bermudian dollar,Bermuda,دولار برمودي,جزر برمودا
BND,96,Brunei dollar,Brunei,دولار بروني,بروني
BOB,68,Boliviano,Bolivia,بوليفاريو بوليفي,بوليفيا
BOV,984,Bolivian Mvdol (funds code),Bolivia,بوليفاريو بوليفي,بوليفيا
BRL,986,Brazilian real,Brazil,ريال برازيلي,البرازيل
BSD,44,Bahamian dollar,Bahamas,دولار بهامي,البهاما
BTN,64,Bhutanese ngultrum,Bhutan,نغولترم,بوتان
BWP,72,Botswana pula,Botswana,بولا,بتسوانا
BYN,933,Belarusian ruble,Belarus,روبل بلاروسي,روسيا البيضاء
BZD,84,Belize dollar,Belize,دولار بليزي,بليز
CAD,124,Canadian dollar,Canada,دولار كندي,كندا
CDF,976,Congolese franc,Democratic Republic of the Congo,فرنك كونغولي,جمهورية الكونغو الديمقراطية
CHF,756,Swiss franc,"Switzerland,  Liechtenstein (LI)",فرنك سويسري,"سويسرا, ليختنشتاين"
CLP,152,Chilean peso,Chile,بيسو تشيلي,تشيلي
CNY,156,Renminbi (Chinese) yuan[8],China,يوان,الصين
COP,170,Colombian peso,Colombia,بيزو كولومبي,كولمبيا
COU,970,Unidad de Valor Real (UVR) (funds code)[9],Colombia,ريال,كولمبيا
CRC,188,Costa Rican colon,Costa Rica,كولون كوستاريكي,كوستاريكا
CUC,931,Cuban convertible peso,Cuba,بيزو كوبي,كوبا
CVE,132,Cape Verde escudo,Cabo Verde,ايسكودو,الرأس الأخضر
CZK,203,Czech koruna,Czechia [10],كرونة تشيكية,جمهورية التشيك
DJF,262,Djiboutian franc,Djibouti,فرنك جيبوتي,جيبوتي
DKK,208,Danish krone,Denmark,كرونة دنماركية,دانمارك
DOP,214,Dominican peso,Dominican Republic,بيسو دومنيكاني,جمهورية الدومنيكان
DZD,12,Algerian dinar,Algeria,دينار جزائري,الجزائر
EGP,818,Egyptian pound,Egypt,جنيه مصري,مصر
ERN,232,Eritrean nakfa,Eritrea,ناكفا,إريتريا
ETB,230,Ethiopian birr,Ethiopia,بير,إثيوبيا
EUR,978,Euro,Euro Countries,يورو,دول الإتحاد الأوروبي
FJD,242,Fiji dollar,Fiji,دولار فيجي,فيجي
FKP,238,Falkland Islands pound,Falkland Islands (pegged to €1.14:1),جنيه جزر فوكلاند,جزر فوكلاند
GBP,826,Pound sterling,United Kingdom,جنيه استرليني,المملكة المتحدة
GEL,981,Georgian lari,Georgia,لاري,جورجيا
GHS,936,Ghanaian cedi,Ghana,سيدي غاني,غانا
GIP,292,Gibraltar pound,Gibraltar (pegged to €1.14:1),جنيه جبرلتار,جبل طارق
GMD,270,Gambian dalasi,Gambia,دالاسي,غامبيا
GNF,324,Guinean franc,Guinea,فرنك غيني,غينيا
GTQ,320,Guatemalan quetzal,Guatemala,كيتزال,غواتيمالا
GYD,328,Guyanese dollar,Guyana,دولار غياني,غيانا
HKD,344,Hong Kong dollar,Hong Kong,دولار هونغ كونغ,هونغ كونغ
HNL,340,Honduran lempira,Honduras,لمبيرا,هندوراس
HRK,191,Croatian kuna,Croatia,كونا,كرواتيا
HTG,332,Haitian gourde,Haiti,جوردة هايتية,هايتي
HUF,348,Hungarian forint,Hungary,فورنت,المجر
IDR,360,Indonesian rupiah,Indonesia,روبية أندونيسية,اندونيسيا
ILS,376,Israeli new shekel,"Israel,  Palestinian Authority",شيكل جديد,إسرائيل
INR,356,Indian rupee,India,روبي هندية,الهند
IQD,368,Iraqi dinar,Iraq,دينار,العراق
IRR,364,Iranian rial,Iran,ريال إيراني,إيران
ISK,352,Icelandic króna,Iceland,كرون,آيسلندا
JMD,388,Jamaican dollar,Jamaica,دولار جامايكي,جامايكا
JOD,400,Jordanian dinar,Jordan,دينار,الأردن
JPY,392,Japanese yen,Japan,ين,اليابان
KES,404,Kenyan shilling,Kenya,شلن,كينيا
KGS,417,Kyrgyzstani som,Kyrgyzstan,سوم,قيرغيزستان
KHR,116,Cambodian riel,Cambodia,ريال كمبودي,كمبوديا
KMF,174,Comoro franc,Comoros,فرنك قمري,جزر القمر
KPW,408,North Korean won,North Korea,ون كوريا الشمالية,كوريا الشمالية
KRW,410,South Korean won,South Korea,ون كوريا الجنوبية,كوريا الجنوبية
KWD,414,Kuwaiti dinar,Kuwait,دينار,الكويت
KYD,136,Cayman Islands dollar,Cayman Islands,دولار,جزر كايمان
KZT,398,Kazakhstani tenge,Kazakhstan,تينغ,كازخستان
LAK,418,Lao kip,Laos,كب,لاوس
